# 60970 peyv, 24400 werger
# Amadekar: Erdal Ronahî 
# www.ferheng.org
# Nûkirina dawî: 2005-07-29 
# 
# kurdî	türkçe

-dar	-li 
armanc	erek
armanc	gaye
armanc	hedef
armûş	üzüm posası
armûşk	posa
arode	çok gezen kadın
arşîv	arşiv
artêş	ordu
artêşgeh	ordugah
artêşxane	ordu evi
artêşxane	orduevi
artîşok	enginar
arû	salatalık
arûng	erik
arvan	kışlık erzak
arvan	un
arvane	dişi deve
Aryan	Hint-Avrupalı
arzing	çırpı
asa	norm
asan	basit
asan	kolay
asanî	kolaylık
asav	ur
asaw	ur
asayî	normal
asayî	olağan
asê	asi
asê	sarp
asê	şaki
asê	yalçın
asê bûn	direnmek
asê kirin	güçlendirmek
asê kirin	tahkim etmek
asêbûn	kapanmak
asêbûn	kilitlenmek
asêbûn	tıkanmak
asêgeh	hisar
asêgeh	kale
asêgeh	müstahkem mevki
asêkirin	kapatmak
asêyî	handikap
asîd	asit
asîk	siluet
asîman	gök
asîman	gökyüzü
asîmanzanî	astronomi
asîtan	ağıl
asîtan	havlu
asîw	bela
ask	geyik
asmin	ufuk
aso	ufuk
asogeh	son ufuk
ast	düzey
Astan	Satürn
asteng	dar geçit
asteng	engel
asteng	güçlük
asteng	mâni
asteng	mania
asteng bûn	engel olmak
astrolojî	astroloji. bakınız \"stêrnasî\"
asûde	asude
asûde	dingin
asûde	sakin
asûk	alışveriş malzemesi
asûn	durum
asûn	vaziyet
Asya	Asya
aş	değirmen
aş	yemek
aşbûn	teskin olmak
aşbûn	yatışmak
aşê qehwê	kahve değirmeni
aşêf	yabani otları ayıklama
aşêf	yabani otları ayıklama işi
aşêf kirin	yabani otları ayıklamak
aşik	kahve değirmeni
aşik	mide
aşît	çığ
aşîtî	barış
aşîtî	sulh
aşîtîperwer	barış sever
aşîtîperwer	barışsever
aşîtîxwaz	barış sever
aşîtîxwaz	barışçı
aşkartin (diaşkêre	açıklığa kavuşturmak
aşkirin	teskin etmek
aşkirin	yatıştırmak
aşopî	hayali
aşpêj	aşçı
aştiyane	barışçıl
aştî	bari
aştîxwaz	barışçı
aştîxwaz	birleştirici
aşûjin	iplik
aşvan	değirmenci
aşxane	lokanta
aşxane	restoran
aşxanevan	lokantacı
ataşe	ataşe
atlet	atlet
atletizm	atletizm
atmosfer	atmosfer. ( bakınız seqa)
atom	atom
av	su
av çikiyan	su tükendi (kesildi)
av standin	su almak
ava	bayındır
ava	imar
ava	mamur
ava berbejî	maden suyu
ava bûn	bayındır olmak
ava kelandî	kaynar su
ava kirin	bayındır hale getirmek
ava kirin	imar etmek
ava kirin	inşa etmek
ava kirin	kalkındırmak
ava kirin	mamur duruma getirmek
ava mend	durgun
ava mend	kirli su
ava sûsê	meyan kökü suyu
ava tezî	soğuk su
avabûn	güneş
avabûn	yıldız vb. nin batması
avabûyî	mamur
avadan	bayındır
avadan	mahmur
avadanî	bayındırlık
avahiya bingehîn	altyapı
avahiya jorîn	üstyapı
avahî	bayındır yer
avahî	bayındırlık
avahî	bina
avahî	inşaat
avahî	yapı
avakar	kurucu
avakirin	inşa etmek
avakirin	kurmak
avakirin	oluşturmak
avan	yardakçı
avanî	meskûn
avans	avans
avantaj	avantaj
avasazî	mimari
avdan	sulama
avdan	sulamak
avdanî	sulama
avdank	su kabı
avdank	sürahi
avde	bir boy iplik
avdestxane	helâ
avdestxane	tuvalet
avdêr	sulama işini yapan kişi
avdonk	et suyu
avdonk	tirit
averû	ebru
averû	yüz suyu
avêtin	atış
avêtin	atmak
avêtin	fırlatmak
avêtin ser cihkî	bir yeri basmak
avêtin zindanê	hapsetmek
avêtin zindanê	zindana atmak
avêtina ber hev	atışmak
avêtinhev	atışmak
avgîz	su biriken yer
avgon	mavi
avgoşt	et suyu
avhewa	iklim
avik	atmık
avik	meni
avik	sperm
avik	sperma
avis	gebe
avis	hamile
avis	hayvanların döl tutması
avisbûn	döl tutmak
avisî	gebelik
avî	sulak
avî	sulu
avîje	temiz
avjen	yüzücü
avjenî	yüzme
avjenîkirin	yüzmek
avjenper	yüzgeç
avjîn	abıhayat
avkêş	saka
avkêş	sucu
avkêş	tulumba
avnûsk	mürekkep
avpijen	fıskiye
avreşî	katarakt (göz)
avrêj	tuvalet
avrêjk	pisuar
Avrêl	Nisan ayı
avsark	içine kar veya buz konarak soğuk su saklamaya yarayan kuyu
avşile	olgunlaşmamış üzüm suyu
avşile	pekmez
avteng	boğaz
avteng	suyun daraldığı yer
avyar	saki
avzêl	bahar pınarı
avzêl	ilkbaharda akan ve ilkbahar bitince kuruyan pınar
avzêm	bahar pınarı
avzêm	baharda oluşan geçici pınar
avzêm	ilkbaharda akan ve ilkbahar bitince kuruyan pınar
avzêr	yaldız
avzêr kirin	yaldızlamak
avzêrkirin	yaldızlamak
avzûng	kayış tokası
awa	biçim
awa	durum
awa	hal
awa	metot
awa	şekil
awa	tarz
awa	vaziyet
awa	yöntem
awan	fesad
awan	fitneci
awanî	fesat
awanî	fitne
awar	helva
awarte	istisna
awarte	istisnai
awarte	olağan dışı
awarte	olağanüstü
awartin	istisna etmek
awat	istek
awat	iştiya
awat	umut
awaz	beste
awaz	ezgi
awaz	makam
awaz	melodi
awaz	ses
awerte	istisna
awêne	açık
awêne	ayna
awêne	belli
awir	bakış
awir	sert bakış
awirvedan	ters ters bakmak
ax	ah
ax	lenç
ax	toprak
axa	ağa
axaftin	konuşma
axaftin	konuşmak
axareş	kara toprak
axiv	yaranın azması
axivîn	depreşmek
axivîn	yaranın azması veya yeniden kanaması
axîn	ah çekme
axîn	ahlama
axîn	sızlama
axîn	sızlanma
axîn kişandin	ah çekme
axînkişandin	ah çekmek
axret	ahret
axund	ayet ya da dua okuyan kişi
axund	hoca
axur	ahır
axûr	ahır
axûrk	tatarcık
aya	acaba
ayend	gelecek
ayende	gelecek
ayet	ayet
ayet	delil
ayisandin	tutuşturmak
ayîn	tören
ayîsîn	tutuşmak
az	dolgun
az	ihtiraslı
az	tutkulu
aza	bağımsız
aza	gözüpek
aza	hür
aza	özgür
azad	hür
azad	özgür
azadî	hürriyet
azadî	özgürlük
azadî bûn	kurtulmak
azadî kirin	kurtarmak
azadî kirin	özgür bırakmak
azadîxwaz	özgürlükçü
azar	azar
azar lêdan	paylamak
azeb	bekar
azeb	ergen
azebî	ergenlik çağı
Azerî	Azeri
azgîn	hırslı
azib	bekar
azirandin	azarlamak
azîn	usul
azîne	metod
azîne	yöntem
azmend	hırslı
azmûn	imtihan
azmûn	sınav
azmûn	tecrübe
azmûn bûn	denenmek
azmûn bûn	imtihan olmak
azmûn kirin	denemek
azmûn kirin	imtihan etmek
azmûn kirin	tecrübe etmek
azmûna devkî	sözlü sınav
aznîf	bir çeşit domino oyunu
azwer	hırs
azwer	hırslı
azwer	tutku
azwer	tutkulu
azwerî	hırs
azwerî	tutku
b	Kürt alfabesinin ikinci harfi
ba	hava
ba	nezd
ba	romatizma
ba	rüzgar
ba	rüzgâr
ba	yan
ba	yanında
ba	yel
ba berdan	yellenmek
ba hatin	esmek
ba hatin	rüzgar esmek
