# 60970 peyv, 24400 werger
# Amadekar: Erdal Ronahî 
# www.ferheng.org
# Nûkirina dawî: 2005-07-29 
# 
# kurdî	türkçe

-dar	-li 
kalik	ata
kalik	büyük baba
kalik	cet
kalik	dede
kalik	dedenin babası
kalitî	yaşlılık
kalî	ihtiyarlık
kalîn	melemek
kalorî	kalori
kalorîfer	kalorifer
kam	mut
kam	mutluluk
kam	nem
kam	rutubet
kamaş	erken kesilip kurutulan tütün
kamav	su birikintisi
kambax	berbad
kambax	berbat
kambax	çok kötü
kamdar	nemli
kamir	saz
kamirî	sazlık
kamran	bahtiyar
kamran	mesut
kamran	mutlu
kamranî	asayiş
kamranî	mutluluk
kamranî	refah
kamûk	üzümü sıkıp şarabını çıkaran kişi
kan	kaynak
kan	maden
kan	maden ocağı
Kanada	Kanada
Kanadaî	Kanadalı
kanc	edepsiz
kanc	küstah
kancî	küstahlık
kandew	gebe kalmayıp süt vermeye devam eden inek
kandew	manda
kanê	hani
kanê	nerde
kanê	nerede
kanik	göz kapağı
kanî	çeşme
kanî	kaynak
kanî	memba
kanî	pınar
kanîn	muktedir olmak
kanîn	yapabilmek
kanker	madenci
kanûn	Aralık ayı
kanûn	ateş ocağı
kaos	kaos
kaos	karabasan
kaos	milozim
kap	aşık kemiği
kapan	dar ve yürümesi zor yol
kapan	sarp dağ yolu
kapavêtin	aşık kemiği oyunu
kapik	kısa ip parçası
kapik	kepek
kapîr	dişlerdeki tartar
kapol	çok ufak saman
kaporta	kaporta
kapox	biçilmiş otları desteyapıp bağlamak üzere ücretle tutulan işçi
kapox	ot toplama işçisi
kapsûl	kapsül
kar	anlamı katan sonek
kar	eden
kar	hizmet
kar	iş
kar	kar
kar	kâr
kar	kazanç
kar	keçi yavrusu
kar	maslahat
kar	mesai
kar	oğlak
kar	sözcüğe yapan
karak	demir madeni
karanîn	kullanmak
karbend	kariyer
karbend	meslek
karbendî	mesleki
karberdan	grev
karberdan	iş bırakımı
karbeşî	iş bölümü
karbidest	işadamı
karbidest	yetkili
karbidestî	yetki
karbîrator	karbüratör
karbon	karbon
karbûran	yakıt
karciv	firma
karçîn	armut
kardank	döl yatağı
kardest	elişi
kardêr	işveren
kare	kare
karekew	toplu helde yapılan keklik av
karesat	faci
karesat	felaket
karesat	musibet
karesat	trajedi
karê hundir	içişleri
karê min heye	işim var
karêz	havası serin olan yer
karêz	pınar
karêz	yayla
karêz	yeraltı kanalı
karferman	iş buyuran
kargeh	işyeri
karger	idareci
karger	yönetici
kargerandin	idare etmek
kargerandin	yönetmek
kargerî	idare
kargerî	yönetim
kargêr	yönetici
karguzar	becerikli
karguzar	iş beceren
karguzar	işgüzar
karguzarî	beceriklilik
karifîn	zıkkımlanmak
karik	gedik
karik	oğlak
karin	edebilmek
karin	iktidar
karin	muktedir olmak
karin	yapabilmek
karistan	fabrika
karîgeh	evren
karîgeh	kainat
karîger	etken
karîger	etkili
karîgerî	etki
karîgerî	tesir
karîkator	karikatür
karîn	edebilmek
karîn	yapabilmek
karîte	mertek
karker	işçi
karkerî	işçilik
karkêş	becerikli
karkêş	bitirim
karkirin	çalışmak
karkirin	kar etmek
karmax	buğday elemekte kullanılan büyük kalbur
karmend	idareci
karmend	memur
karmend	yönetici
karok	mantar
karole	karyola
karparî	iş bölümü
karsaz	işadamı
karsaz	işletmeci
karsazî	işletme
kart	kavt
kart	yirmi beş kuruş
kartêker	etken
kartik	pim
kartî	bayat
kartîk	marangozlukta kullanilan eye
kartol	patates
karton	karton
karton	mukavva
kartvîzît	kartvizit
karûbar	hazırlık
karûbar	hizmet
karûbar	iş güç
karûbar	uğraş
karûbarê gelemperî	genel hizmetler
karûbarê gişkî	kamu hizmeti
karûbarên derve	dışişleri
karûbarên hundirîn	içişleri
karwan	kervan
karwansera	kervansaray
kase	kâse
kasik	topraktan yapılmış yemek kabı
kaskêt	kasket
kasox	orak
kaş	rampa
kaş	yamaç
kaş	yokuş
kaşan	tapan
kaşe	kayak
kaşik	kayak yeri
kaşing	kuşak
kaşî	fayans
kaşker	sürükleyici
kaşkirin	çekmek
kaşkirin	sürüklemek
kaşxane	konak
kaşxane	köşk
kaşxane	villa
kat	az ürün veren arazi
kat	hububatın ilk filizleri
kat	vakit
kat	zaman
katalox	katalog
katdan	filizlenmek
kate	çörek
katjimêr	saat
katjimêr çend e?	saat kaç?
katjmêr	saat
Katolîk	Katolik
kator	ibik
katora dîk	horoz ibiği
kav	fındık türü şeylerin hasat mevsimi
kavanî	ev hanımı
kavil	harabe
kavil	yıkık
kavil	yıkıntı
kavir	iki yaşında koyun
kavir	iki yaşındaki koyun
kavî	kıyı
kavî	kenar
kavnare	antik
kavnare	eskiye ayit
kawdan	koşul
kawdan	şart
kawik	saf kişi
kawik	yarım akıllı
kax	ekili arazideki yabani otlar
kaxez	kağıt
kaxiz	kağıt
kaxîl	çemen otu
kayîn	geviş getirme
kayîn	geviş getirmek
kebanî	ev işinde sorumlu ve yönetici kadın
kebar	fecir
kebar	fecr
kebar	şafak öncesi zaman
kebar	tekbir
keç	kız
keç	kız evlat
keç met	hala kızı
keçanî	kızlık
keçap	amca kızı
keçel	dazlak
keçel	kel
keçelî	kellik
keçelok	akbaba
keçêç	tavukların eşelendikleri yer
keçhêlî	üvey kız
keçhili	üvey kız evlat
keçinî	bekaret
keçitî	kızlık
keçmam	amca kızı
keçmarî	üvey kız
keçmet	hala kızı
keçxal	dayı kızı
keçxaltî	teyze kızı
keçxapînok	kadın avcısı
ked	emek
keda bermayî	artık emek
keda dest	el emeği
kedanî	kümes hayvanları
keder	keder
kedew	hayvan nezlesi
kedik	oğlak ve kuzu derisinden yapılan tulum
kedî	ehli
kedî	evcil
kedîbûn	evcilleştirmek
kedkar	emekçi
kedûn	küçük su testisi
kedxwar	sömürücü
kedyar	emektar
kef	köpük
kef dan	köpürmek
kef ji re hatin	hoşlanmak
kef ji re hatin	sevmek
kefa dest	avuç içi
kefandin	bir şeyin kenarını bir baştan bir başa dikmek
kefandin	köpürtmek
kefaret	kefaret
kefdan	köpürmek
kefen	kefen
kefgîr	kevgir
kefgîr	süzgeç
kefiyan	köpürmek
kefî	erkek başörtüsü
kefîn	köpürmek
kefkirin	köpürtmek
kefşîl	salya
keftar	sırtlan
keftûleft	ağız dalaşı
keftûleft	dalaşma
keftûleft	kendisiyle boğuşma
keftûleft	mücadele
kefxoy	hristiyanların köy yöneticisi
kefxweşî	memnuniyet
kehêl	küheylan
kehreb	elektrik
kehrebar	elektrikli
kehrebar	mıknatıs
kehrebar	manyetik
kej	kumral
kej	sarışın
kejave	sedye
kejê	sempatik sarışın kız çoçuğu
kejê	sevimli
kejok	siyatik
kek	abi
kek	ağabey
kek	ayrıca saygı ve sevgi hitabıdır
kel	iki yaşında sığır
kel	kaynama
kela	kale
kelandin	kaynatmak
kelaş	kadavra
kelax	hayvan leşi
kelbetan	maşa
keledoş	döğülmüş buğday ile yapılan bir yemek
kelef	büyük iplik yumağı
kelejin	başa oynayan kadın
kelejin	erkek ruhlu
kelejin	erkek ruhlu kadın
kelek	kayık
kelek	sal
kelem	budak
kelem	engel
kelem	lahana
kelem	meşe
kelem	meşe ormanı
kelem	rahatsızlık veren
kelemêr	güçlü karakterli adam
kelemîz	sık sık altına işeyen kişi
kelepor	birkim
kelepor	halk ürünleri
kelepor	kelepir
kelepor	miras
kelepor	varlık
kelerim	karnabahar
keleş	alımlı
keleş	efe
keleş	eşkıya
keleş	güzel
keleş	korsan
keleşê hewayê	hava korsanı
kelê	az tuzlu
kelê	tuzsuz
kelh	güzel görkemli
kelh	kale
kelh	nadir
kelhatin	kaynamaya başlamak
kelhoşk	dağ geçidi
kelij	kaynaşma
kelijandin	kaynaştırmak
kelijî	kaynaşmış
kelijîn	kaynaşmak
kelistin	dikizlemek
kelistin	gizli gözetmek
kelî	az tuzlu
kelî	tuzsuz
kelîn	coşmak
kelîn	kaynamak
kelk	fayda
kelk	istifade
kelk	yarar
kelk jê girtin	yararlanmak
kelkel	aşırı sıcak
kelkela havînê	yaz sıcağı
kelkot	eğri büğrü
kelkot	eski püskü
kelkot	yamuk
kelkwergirtin	yararlanmak
kelmêş	sivrisinek
kelmêş	üvez
kelogirî	ağlamaklı
kelogirî	sulu göz
kelogirîbûn	ağlamaklı olmak
kelpezî	bukalemun
kelpik	böğür
kelpik	kepek
keltox	çok yaşlı kimse
keltox	moruk
kelû	dönence
kelûmel	teçhizat
kelwaz	şiddetli soğuk
kelx	moruk
kelxane	dökümhane
kelxîn	moruklaşmak
kem	kulaksız hayvan veya insan
kem	normalden küçük kulaklı
keman	keman
kemançe	kemençe
kemanjen	kemancı
kember	kemer
kemend	kement
kemili	olgunlaşmış kamil
kemitandin	kaynaştırmak
kemitîn	kaynaşmak
kemîn	pusu
kemîn	tuzak
kemîn avêtin	pusuya yatmak
kemîn danîn	pusu kurmak
kemîndanîn	pusu atmak
kemn	örtü
kemole	varil
kemperandin	kıyaslamak
kempirandin	kıyaslama
kemxe	ipek
kemxe	kumaş
ken	gülme
ken	gülüş
kenandin	güldürmek
kenar	kenar
kenarî	kanarya
kend	arğ
kend	hendek
kend	koyak
kend û kosp	engebe
kend û kosp	engel
kendal	derin dere ve yanların iki tarafı
kendal	dik yamaç
kendal	yamaç
kendal	yar
kendav	haliç
kendav	körfez
kendavik	koy
kenewer	komik
kengê	ne zaman
kenhar	güldürücü
kenik	kepek (saç)
kenişte	havra
kenişte	sinegog
kenişte	Yahudi tapınağı
kenîn	gülmek
kenîşte	havra
kenîşte	sinagog
kenloşkî kirin	kırıştırmak
kenok	güleç
kenok	güler
kenok	güler yüzlü
kenok	sempatik
kenze	fanila
kenze	kazak
kep	kep
kepaze	kepaze
kepazetî	kepazelik
kepel	höyük
kepenek	çoban kepeneği
kepeng	kepenk
kepez	fundalık
kepir	kulübe
kepîr	dişlerde biriken kireç
kepîr	tartar
ker	eşek
ker	sağır
keramet	keramet
kerane	balyoz
kerane	zengin
kerate	çekecek
keratî	afiyet olasın anlamında beddua
keravî	pelikan
kerax	sebze işçisi
keraxî	sebze işçiliği
keraxî	sebzecilik
keraxî	söğüş salata
kerb	keder
kerb	tasa
kerb	üzüntü
kerbandin	kederlendirmek
kerbeş	gavurbaşı dikeni
kerbîn	kederlenmek
kerbûn	sağır olmak
kerdik	çeltik evleği
kerdî	sebze bahçesi ve bostan evlekleri
kerefz	kereviz
kerehû	samyeli
kerem	el açıklığı
kerem	gönül yüceliği
kerem (bi)ke	buyurun
kerem bika	buyur
kerem kirin	buyurmak
kereng	kenger
kerenzer	sarışın
kerese	eşya
kerese	malzeme
kerexne	maşa
kerg	tezgah
kergez	akbaba
kerguh	tavşan
kerh	çıkar
kerh	menfaat
kerik	badem
kerik	çağla
kerik	kayısı
kerik	kulak kepçesi
kerik	kurşun geçirmeyen çelik yelek
kerik	olmamış incir
kerik	solungaç
kerika guh	kulak yolu
kerixandin	bıktırmak
kerixandin	teksindirmek
kerixandin	usandırmak
kerixîn	bıkmak
kerixîn	kanıksamak
kerixîn	nefret etmek
kerixîn	teksinmek
kerixîn	usanmak
kerî	dilim
kerî	küçük baş hayvan sürüsü
kerî	parça
kerî	sağırlık
kerî	sürü
kerîkirin	dilimlemek
kerîkirin	parçalara ayırmak
kerkedan	gergedan
kerkere	hergele
kerkere	iriyarı
Kerkûk	Kerkük
kerme	kurumuş tezek
kermêş	eşek arısı
kermêş	sivrisinek
kerpeze	bukalemun
kerpîç	kerpiç
kertek	bol
kertek	çok
kertik	eye
kerxane	genel ev
kerxane	kerhane
kerxerê	keçiyolu
kerxur	akbaba
kes	kimse
kes	kişi
kes	şahıs
kesahî	kişilik
kesandin	şahıslandırmak
kesane	kişisel
kesane	şahsi
kesanî	kişisel
kesas	mutsuz
kesat	kesat
kesaxtin	budamak
kesayetî	kişilik
kesayetî	şahsiyet
keser	hüzün
keser	üzüntü
keser girtin	hüzünlenmek
keser kişandin	iç çekmek
kesê darazî	hükmi şahıs
kesê darazî	tüzel kişi
kesê yekemîn	birinci şahıs
kesên li Hindistanê li derî kastan	beradayı
kesidandin	salamura yapmak
kesidîn	salamura olmak
kesirandin	hüzünlendirmek
kesirandin	üzmek
kesirîn	hüzünlenmek
kesirîn	üzülmek
kesixîn	budanmak
kesîtiya darazî	tüzel kişilik
kesk	yeşil
kesk bûn	yeşillenmek
keskesor	gök kuşağı
keskesor	gökkuşağı
keskesor	renga renk
keslan	tembel
kesp	küspe
kesper	mavi gözlü
kespik	maskot
kespik	nazar boncuğu
keş	karavana atılan mermi
keş	karavana atış
keşe	keşiş
keşe	papaz
keşe	rahip
keşeyan	ruhban
keşîş	papaz
keşk	diz kapağı
keşk	tarhana
keşkana	keşke
keşke	keşke
keşklok	çökelek
keşklok	kete
keşklok	kurutulmuş ekmek
keşkul	keşkül
keşkul	tezek parçası
keştigeh	liman
keştigeh	rıhtım
keştivan	gemici
keştivanî	gemicilik
keştiya balafiran	uçak gemisi
keştiya bixêlî	yelkenli gemi
keştiya rêwiyan	yolcu gemisi
keştî	gemi
keştî	vapur
keştîbar	yük gemisi
keştîgeh	liman
keştîgeh	rıhtım
keştîvan	gemici
ket	yonca
ketandî	yatalak
ketezer	sarı çiçekli yonca
ketin	devrilmek
ketin	düşmek
ketin	geçmek
ketin	girmek
ketin	yıkılmak
ketin avê	suya düşmek
ketin avê	yüzmek
ketin cilan	yatağa düşmek
ketin ciyawaziyê	ihtilafa düşmek
ketin çelemê	lades tutuşmak
ketin hundir	içeri girmek
ketin miçilgê	bahse girmek
ketin miçilgê	iddiaya girmek
ketin navberê	araya girmek
ketin nivînê	yatağa düşmek
ketin paxavê	paniğe kapılmak
ketin pey	peşine düşmek
ketin pêşbazîyê	yarışmaya girmek
ketin silûke	inzivaya çekilmek
ketin silûkê	inzivaya çekilmek
ketin şaşiyê	hataya düşmek
ketin şaşkirin	şaşırmak
ketin teşqelê	telaşa düşmek/telaşlanmak
ketin xelwetê	inzivaya çekilmek
ketincilan	yatağa düşmek
ketinmiçilgê	iddiaya girmek
ketinpêşbirkê	yarışmaya girmek
ketintengasiyê	sıkıntıya düşmek
ketî	düşkün
ketî	düşmüş
ketî	düşük
ketî	mağdur
ketî	müflis
ketîbûn	düşkünlük
ketûber	sıradan
ketxweda	kahya
keval	tablet
keval	tablo
kevalber	taş tablet
kevan	parantez
kevan	yay
kevane	ayraç
kevane	kavis
kevane	köprü kemeri
kevanî	ev kadını
kevçî	kaşık
kevel	koyun v.b. hayvanların derisi
kever	benekli keçi
kever	kırçıl
kever	kayaylardan oluşan dağ
kevil	koyun derisi
kevir	taş
kevir kirin	taşlamak
kevî	baharda doruklarda kalan kar
kevî	kıyı
kevî	kenar
kevî	sahil
kevî	yan
kevîşen	kumsal
kevîşen	plaj
kevjal	yengeç
kevjalê derya	ıstakoz
kevloşk	kırışık
kevn	eski
kevn	eskimiş
kevn bûn	eskimek
kevn kirin	eskitmek
kevnar	antik
kevnare	antika
kevnarefroş	antikacı
kevnarik	ikinci el eşya
kevne	eski
kevne	köhne
kevnefroş	eskici
kevneparêz	muhafazakar
kevneparêz	tutucu
kevneperest	grici
kevneperest	muhafazakar
kevneperest	tutucu
kevneşop	gelenek
kevneşop	kelenek
kevneşopî	geleneksel
kevnik	ıskarta
kevok	güvercin
kevot	akça ağaç
kevot	kumru
kevot	meyve vermeyen ve dalları kaşık yapılan bir ağaç
kevz	yosun
kew	keklik
kewandin	pansuman
kewandin	pansuman yapmak
kewar	ambar
kewar	arı kovanı
kewara mêşan	arı kovanı
kewaşe	çöküntü
Kewçêr	Ekim ayı
kewdank	kılıf
kewdank	muhafazalık
kewden	ahmak
kewden	geri zekalı
kewderî	yabani horoz
kewişîn	bina gibi şeylerin çökmesi
kewşen	güneş görmeyen yamaç
kewtîn	havlamak
key	kral
keya	muhtar
keyanî	krallık
keyanî	muhtarlık
keybanû	kraliçe
keyitî	krallık
keyitî	monarşi
keyîtî	monarşi
keyparêz	monarşist
keys	firsat
keyso	fırsatçı
keyso	oportünüst
keysperest	fırsatçı
keysperest	oportünüst
keysperestî	fırsatçılık
kezaxtin	budamak
kezeb	ciğer
kezebreş	karaciğer
kezî	kakül
kezwan	menengiç
kê	kim
kê	kimin
kêç	pire
kêf	eğlence
kêf	keyf
kêf	keyif
kêf	zevk
kêf jê girtin	zevk almak
kêf kirin	keyfetmek
kêfkarî	keyfi
kêfşing	yengeç
kêfxweş	memnun
kêl	dikili taş
kêlan	toprağı sürmek
kêlandî	tirpan
kêlangeh	sürüme ayrılmış toprak
kêlbik	bir kertenkele türü
kêlek	yan
kêlek	yan taraf
kêlek	yanı başı
kêlik	mezar taşı
kêlî	ikincil
kêlî	kaba dikiş
kêlî	ötürü
kêlî	tali
kêlî	teyel
kêlîk	kısa an
kêlîk	lahza
kêlîka din	biraz önce
kêm	az
kêm	cerahat
kêm	eksik
kêm	irin
kêm	noksan
kêm bûn	azalmak
kêm bûn	eksilmek
kêm bûn	kıtlaşmak
kêm dîtin	az görmek
kêm dîtin	azımsamak
kêm dîtin	hakir görmek
kêm û zêde	aşağı yukarı
kêmagahî	bilgi eksikliği
kêmahî	eksiklik
kêmanî	azaltmak
kêmanî	eksiklik
kêmanî	hata
kêmanî	kısmak
kêmanî	kusur
kêmasî	eksiklik
kêmasî	hata
kêmasî	kusur
kêmasî	özür
kêmber	az ürünlü
kêmber	ensiz
kêmber	verimsiz
kêmbûn	azalmak
kêmbûn	eksilmek
kêmdîtin	ara sıra görmek
kêmdîtin	az görmek
kêmdîtin	hakir görmek
kêmdîtin	hor görmek
kêmheş	geri zekalı
kêmî	azlık
kêmî	yetersizlik
kêmkirin	azaltmak
kêmkirin	eksiltmek
kêmkirin	kısmak
kêmlebat	alil
kêmtirîn	asgari
kêmtirîn	minimum
kêmxwînî	anemi
kêmxwînî	zafiyet
kêmzêde	ortalama
kêmzêde	takriben
kêmzêde	yaklaşık
kêr	bıçak
kêr	fayda
kêr	fonksiyon
kêr	işlev
kêr	yarar
kêr jê dîtin	yararlanmak
kêr kirin	bıçaklamak
kêrakî	pazar günü
kêran	damlara atılan kiriş
kêran	mertek
kêranîn	yararlanmak
kêrdar	yararlı
kêrdarî	yararlılık
kêrguh	tavşan
kêrhatinî	elverişlilik
kêrhatî	elverişli
kêrhatî	kullanışlı
kêrhatî	yararlı
kêrik	çakı
kêrkirin	bıçaklamak
kêrtik	eğe
kêrtik kirin	eğelemek
kêrtik kirin	kertik atmak
kêse	kestirme
kêsim	biçim
kêsim	şekil
kêsimandin	biçimlendirmek
kêsimandin	şekillendirmek
kêsimîn	biçimlenmek
kêş	cazibe
kêş	çeken
kêş	çekici
kêş	tartı
kêş	taşıyan
kêşan	çekmek
kêşan	tartmak
kêşan	taşımak
kêşandî	tartılı
kêşe	dara
kêşe	denge
kêşe	problem
kêşe	sorun
kêşe û vekêş	gel-git
kêşe û vekêş	medcezir
kêşeya kurdî	kürt sorunu
kêşik	yay kirişi
kêşîn	çekilmek
kêşîn	tartılmak
kêşîn	taşınmak
kêşwer	cazibeli
kêvjal	yengeç
kêvroşk	tavşan
kêzik	böcek
kêzîn	büz
kêzîn	döşemek
kêzîn	kanalizasyon
kifêrî	ılgın ağacı
kifik	küf
Kifrî	Irak’ta bir Kürt kenti
kifş	açık
kifş	açıkta
kifş	belli
kifşbûn	belirmek
kifşbûn	belli olmak
kifşkirin	açığa çıkarmak
kifşkirin	belirtmek
kil	rastık
kil	salınım
kil	salıncak vb. şeylerin her bir salınımı
kil	sarkaç
kil	sürme
kil	yayık
kilam	şarkı
kilam	türkü
kilandin	yayıl yalmak
kilaw	başörtüsü
kilb	iri duvar çivisi
kilb	uzun ve kalın çivi
kilçan	el feneri
kilçêv	sürme kalemi
kilêb	çapa
kiling	kuşkonmaz
kilîkilî	ağaç kakan
kilîl	anahtar
kilîlk	anahtar
kilîlk	kilit
kilît	anahtar
kilît	kilit
kilît kirin	kilitlemek
kilîtdank	anahtarlık
kilîtkirî	kilitli
kilk	sütün başlığı
kilkirin	sürme çekmek
kilor	börek
kilor	çörek
kilor	kömme
kilosk	çanak
kilosk	çömlek
kilox	kafatası
kilox	kelle
kils	kireç
kilyar	acur
kimê	şişe kapağı
kimê	tapa
kin	kisa
kin bûn	kısalmak
kin kirin	kısaltmak
kinahî	kisalik
kinare	ud
kinbûn	kısalmak
kinc	çamaşır
kinc	elbise
kinc	giysi
kincik	paçavra
kincjixwekirin	soyunmak
kinclixwekirin	giyinmek
kind	zillet
kindik	cici
kindir	kendir
kindir	kendir halat
kine-mine	derme-çatma
kine-mine	kör-topal
kine-mine	yarım-yamalak
kinêr	abse
kinêr	çıban
kinêzet	silsile
king	but
kinif	kenevir
kinik	bodur
kinik	kısa
kinik	kisa boylu
kinîn	kinin
kinkirin	kisaltmak
kinoş	cimri
kinoş	pinti
kinoşe	süpürge
kinûşk	pembe
kir	kısa kulaklı hayvan
kir û frotin	alım satım
kiramî	bir kılıç çeşidi
kirar	fail
kirar	fiil
kirarî	işlem
kiras	gömlek
kirdan	büyük ve kalın oklava
kirdar	yaptırım uygulayan
kirdarî	yaptırım
kirde	fail
kirde	özne
kirde	özne (grm.)
kiremît	kiremit
kirê	kira
kirêt	çirkin
kirêt	kirli
kirêt	pis
kirêt	yoz
kirh	çirkin
kirin	döktürmek
kirin	etmek
kirin	eylem
kirin	jê önekiyle (jêkirin) fiil
kirin	kesmek
kirin	koparmak
kirin	koymak
kirin	lê önekiyle (lêkirin) üstüne dökmek
kirin	yapmak
kirin der	kovmak
kirin ser	ulamak
kiriyar	abonmen
kiriyar	alıcı
kiriyar	müşteri
kirîger	alıcı
kirîger	müşteri
kirîn	kirîn û firotin
kirîn	müşteri
kirîn	satın almak
kirîn û firotin	alım satım
kirîn û firotin	alışveriş
kirkaş	paldır küldür
kirkaşbirin	paldır küldür götürmek
kirkirik	kıkırdak
kirkirok	yemek borusu
kirman	hisar
kirman	kale
Kirmansah	Kermanşah
kirmişîn	büzülmek
kirosk	ahlat
kirotî	raşitizm
kirp	vurgu
kirpandin	vurgulamak
kirtîn	kütürdemek
kirtûpan	baştan savma
kirtûpan	gelişi
kirtûpan	güzel
kirtûpan	üstün körü
kirtûpan	üstünkörü
kirû	fenomen
kirû	olgu
kirûr	yarım milyon
kiryar	abone
kiryar	alıcı
kiryar	eden
kiryar	icraatçı
kiryar	uygulama
kiryar	yapan
kiryar bûn	abone olmak
kiryarî	abonman
kiryarî	icraat
kisûr	attariye
kisûr	kumaş
kisûr	küsür
kiş	kışkırtma
kiş	teşvik
kiş kirin	kışkırtmak
kişandin	çekiliş
kişandin	çekmek
kişandin	içine çekmek
kişandin	tartmak
kişik	satranç
kişiyan ber	yanaşmak
kişîner	çekici
kişkirin	kışkırtmak
kişmiş	kuş üzümü
kitan	keten
kitekit	ayrıntı
kitik	kedi
kixs	soğan arpacığı
kiz	kısık
kiz	meyus
kiz	sönük
kizik	kıkırdak
kizin	burçak
kizirîn	tütsülenmek
kizirîn	tüyleri yanmak
kizîr	hakem
kizîr	yardımcı
kizmik	posa
kizwet	kiyafet
kî	kim
kîjan	hangi
kîjan	hangisi
kîl	kil
kîlogram	kilo(gram)
kîlometr	kilometre
kîlowat	kilovat
kîmye	kimya
kîmyewî	kimyasal
kîn	garaz
kîn	kin
kîn girêdan	kin bağlamak
kînaye	kinaye
kîndar	kindar
kîp	sık
kîp	sıkı
kîp	sımsıkı
kîp bûn	sıkıca kapanmak
kîp kirin	sıkıca kapatmak
kîper	ince bağırsak
kîpkirin	sıkıştırmak
kîpkirin	sıkmak
kîr	erkek cinsel organı
kîr	penis
kîs	cüzdan
kîs	torba
kîsik	kese
kîso	kaplumbağa
kîso	tosbağa
kîşwer	memleket
kîşwer	ülke
kîte	hece
kîteandin	hecelemek
kîtekît	ayrıntı
kîtekît	detay
kîtkît	ayrıntı
kîtkît	teferruat
Kîwan	Satürn
klamên serhewa	uzun hava
ko	ki
Ko	Ülker yıldızı
koc	asma kilit
koç	göç
koç	hicret
koç kirin	göçmek
koçber	göçmen
koçberî	göç
koçberî	göçmenlik
koçek	köçek
koçer	göçebe
koçer	göçer
koçik	kabul odası
koçik	selamlık
koçkirin	göçetmek
koçrevî	göç
koçrevî	tehcir
kod	ağaçtan kap
kod	saz ve benzeri müzik aletlerinin şişkin kısmı
kod	tekne
kod	ud
koderî	mera veya otlak kirası
koga	büyük mağaza
kojtin	kemirmek
kok	akort
kok	akortlu
kok	kök
kok	süs
kok	süslü
kok	üstü başı düzgün
kok kirin	akort etmek
kok kirin	bezemek
kok kirin	donatmak
kok kirin	süslemek
kok qelandin	kökünü kazımak
koka zer	Hint safranı
kokandin	akort etmek
kokandin	bezemek
kokandin	donatmak
kokandin	süslemek
kokim	çok yaşlı
kokim	çok yaşlı kişi
kokîn	süslenmek
kokos	nargile
kol	boynuzsuz
kol	keçi
kol	küt
kolan	cadde
kolan	eşelemek
kolan	hafriyat
kolan	kazmak
kolan	sokak
kolan kirin	enselemek
kole	esir
kole	köle
koledar	köle sahibi
koledar	sömürgeci
koletî	kölelik
kolik	çardak
kolik	nişangah
kolit	gece kondu
kolîn	eşelemek
kolîn	kazmak
kolîtik	tezeklerden yapılan yığın
kolnyar	arkeolog
kolnyarnasî	arkeoloji
kolonî	koloni
koloz	yün başlık
kom	cumhur
kom	grup
kom	küme
kom	topluluk
kom bûn	temerküz
kom bûn	toplanma
kom kirin	biriktirmek
kom kirin	tahsil etmek
kom kirin	toparlamak
kom kirin	toplamak
kom kirin	yığmak
komar	cumhuriyet
komarvan	cumhuriyetçi
kombers	bilgisayar
kombûn	toplanmak
komcivîn	genel kurul
komcivîn	kongre
komcivîna karûbarên tevayî	genel hizmetler
komcivîna tevayî	genel kurul
komdarî	toplu
komel	cemiyet
komel	dernek
komel	toplum
komele	dernek
komeleyatî	sosyal
komeleyatî	toplumsal
komik	grup
komik	topluluk
komînak	toplam
komîtiya kargeriyê	yönetim kurulu
komîtiya kargerxane	yönetim yeri
komîtiya şêwrê	danışma kurulu
komîtî	komite
komkarî	kolektivizm
komkeştî	filo
komkirin	biriktirmek
komkirin	toplanmak
komkujî	katliam
kompere	meblağ
kompere	toplu para
komploker	entrikacı
komploker	komplocu
kon	çadır
kon kon vegirtin	çadır çadır açmak
kon vegirtin	çadır kurmak
kone	kurnaz
kone	uyanık
konik	örümcek ağı
konî	koni
konser	konser
konsîl	konsey
konsul	konsolos
konsulxane	konsolosluk
kop	eli sakat
kopare	deve hörgücü
kopel	doruk
Kopenhag	Kopenhag (Danimarka’nın başkenti)
kopî	kopya
kopî kirin	kopya etmek
kopî kişandin	kopya çekmek
kor	ama
kor	kör
korbawerî	kör inanç
kordûnde	çocuğu olmayan
korebîn	dargörüşlü
koremar	kör yılan
koremişk	kör fare
koremişk	köstebek
korik	loş ışık
koritî	körlük
korîzan	geri zekalı
kort	çukur
kortal	büyük çukur
kortal	uçurum
kose	köse
kosele	kösele
kosp	engel
kostek	köstek
koş	böğür
koş	etek
koş	eteklik
koşan	çaba
koşan	çekişme
koşan	uğraş
koşebend	köşebent
koşebend	köşeli parantez
koşîn	çekişmek
koşk	köşk
koşk	saray
koştin	kemirmek
kot	kemiklerin yuvarlak ucu
kot	kesici aletlerin körelmesi
kot	küt
kotan	pulluk
kotek	dayak
kotek	patak
kotek kirin	dayak atmak
kotek kirin	pataklamak
kotekî	zorla
koter	kolye
kotin	kemirmek
kotinker	kemirgen
kotî	cüzam
kotî	cüzzam hastalığı
kotîbûyî	cüzamlı
kotûkêş	badire
kov	içbükey
kov	kambur
kov	konkav
kov	obruk
koval	helezonik
koval	sarmal
kovan	hüzün
kovan	keder
kovan	özlem
kovar	degi
kovar	dergi
kovar	mecmua
kovik	argoda kıç
kovik	huni
kovî	vahşi
